filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
.\BoKnows-Spring2024-SQA\empirical\dataset.stats.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,12,0,17,[12],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b404-import-subprocess
.\BoKnows-Spring2024-SQA\empirical\dataset.stats.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,59,24,75,[59],https://bandit.readthedocs.io/en/1.7.8/plugins/b607_start_process_with_partial_path.html
.\BoKnows-Spring2024-SQA\empirical\dataset.stats.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,59,24,75,[59],https://bandit.readthedocs.io/en/1.7.8/plugins/b603_subprocess_without_shell_equals_true.html
.\BoKnows-Spring2024-SQA\fuzz.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,31,30,50,[31],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_calls.html#b311-random
.\BoKnows-Spring2024-SQA\fuzz.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,38,30,50,[38],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_calls.html#b311-random
.\BoKnows-Spring2024-SQA\mining\git.repo.miner.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,10,0,17,[10],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b404-import-subprocess
.\BoKnows-Spring2024-SQA\mining\git.repo.miner.py,blacklist,B408,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,"Using minidom to parse untrusted XML data is known to be vulnerable to XML attacks. Replace minidom with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",15,0,27,[15],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b408-import-xml-minidom
.\BoKnows-Spring2024-SQA\mining\git.repo.miner.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,38,7,51,[38],https://bandit.readthedocs.io/en/1.7.8/plugins/b607_start_process_with_partial_path.html
.\BoKnows-Spring2024-SQA\mining\git.repo.miner.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,38,7,51,[38],https://bandit.readthedocs.io/en/1.7.8/plugins/b603_subprocess_without_shell_equals_true.html
.\BoKnows-Spring2024-SQA\mining\mining.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,7,0,17,[7],https://bandit.readthedocs.io/en/1.7.8/blacklists/blacklist_imports.html#b404-import-subprocess
.\BoKnows-Spring2024-SQA\mining\mining.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,43,7,51,[43],https://bandit.readthedocs.io/en/1.7.8/plugins/b607_start_process_with_partial_path.html
.\BoKnows-Spring2024-SQA\mining\mining.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,43,7,51,[43],https://bandit.readthedocs.io/en/1.7.8/plugins/b603_subprocess_without_shell_equals_true.html
.\BoKnows-Spring2024-SQA\mining\mining.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,81,24,75,[81],https://bandit.readthedocs.io/en/1.7.8/plugins/b607_start_process_with_partial_path.html
.\BoKnows-Spring2024-SQA\mining\mining.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,81,24,75,[81],https://bandit.readthedocs.io/en/1.7.8/plugins/b603_subprocess_without_shell_equals_true.html
